#id (do not edit)                ,enabled / disabled,caliber in mm,sub-name,country override (several),ship type override (several),"model, grade N","scaling, grade N","scaling, grade N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@name,enabled,#mm,subName,countries,shipTypes,model_1,scale_1,max_scale_1,weight_modifier_1,caliber_length_modifier_1,model_2,scale_2,max_scale_2,weight_modifier_2,caliber_length_modifier_2,model_3,scale_3,max_scale_3,weight_modifier_3,caliber_length_modifier_3,model_4,scale_4,max_scale_4,weight_modifier_4,caliber_length_modifier_4,model_5,scale_5,max_scale_5,weight_modifier_5,caliber_length_modifier_5,#,#2,#3,#4,#5,#6,#7,#8,#9,#10
gun_8_x4,,203,gun_8_x4,,,agamemnon_gun_228_x4,1.0184,1.1311,0.63,,agamemnon_gun_228_x4,1.0184,1.1311,0.63,,nelson_gun_152_x4,1.1544,1.2626,0.63,,mont_gun_152_x4,1.184,1.294,0.63,,british_adv_cruiser_152_gun_x4,0.928,1.027,0.63,,,,,,,,,,,
gun_9_x1,,229,gun_9_x1,,,friedrich_gun_228_x1,0.9076,0.9858,1.1,,agamemnon_gun_228_x1,1.1411,1.2538,1.1,,nelson_gun_152_x1,1.2726,1.3808,1.1,,mont_gun_152_x1,1.311,1.421,1.1,,british_adv_cruiser_152_gun_x1,1.037,1.136,1.1,,,,,,,,,,,
gun_9_x2,,229,gun_9_x2,,,friedrich_gun_228_x2,0.9076,0.9858,0.82,,agamemnon_gun_228_x2,1.1411,1.2538,0.82,,nelson_gun_152_x2,1.2726,1.3808,0.82,,mont_gun_152_x2,1.311,1.421,0.82,,british_adv_cruiser_152_gun_x2,1.037,1.136,0.82,,,,,,,,,,,
gun_9_x3,,229,gun_9_x3,,,friedrich_gun_228_x3,0.9076,0.9858,0.64,,agamemnon_gun_228_x3,1.1411,1.2538,0.64,,nelson_gun_152_x3,1.2726,1.3808,0.64,,mont_gun_152_x3,1.311,1.421,0.64,,british_adv_cruiser_152_gun_x3,1.037,1.136,0.64,,,,,,,,,,,
gun_9_x4,,229,gun_9_x4,,,agamemnon_gun_228_x4,1.1411,1.2538,0.58,,agamemnon_gun_228_x4,1.1411,1.2538,0.58,,nelson_gun_152_x4,1.2726,1.3808,0.58,,mont_gun_152_x4,1.311,1.421,0.58,,british_adv_cruiser_152_gun_x4,1.037,1.136,0.58,,,,,,,,,,,
gun_10_x1,,254,gun_10_x1,,,brandenburg_gun_279_x1,0.979,1.06,1.2,,dreadnought_gun_b_305_x1,0.954,1.035,1.2,,nelson_gun_406_x1,0.6908,0.754,1.2,,kgeorge_gun_380_x1,0.675,0.7275,1.2,,richelieu_gun_380_x1,0.675,0.7275,1.2,,,,,,,,,,,
gun_10_x2,,254,gun_10_x2,,,brandenburg_gun_279_x2,0.979,1.06,0.9,,dreadnought_gun_b_305_x2,0.954,1.035,0.9,,nelson_gun_406_x2,0.6908,0.754,0.9,,kgeorge_gun_380_x2,0.675,0.7275,0.9,,richelieu_gun_380_x2,0.675,0.7275,0.9,,,,,,,,,,,
gun_10_x3,,254,gun_10_x3,,,brandenburg_gun_279_x3,0.979,1.06,0.68,,dreadnought_gun_b_305_x3,0.954,1.035,0.68,,nelson_gun_406_x3,0.6908,0.754,0.68,,kgeorge_gun_380_x3,0.675,0.7275,0.68,,richelieu_gun_380_x3,0.675,0.7275,0.68,,,,,,,,,,,
gun_10_x4,,254,gun_10_x4,,,dreadnought_gun_b_305_x4,0.954,1.035,0.63,,dreadnought_gun_b_305_x4,0.954,1.035,0.63,,nelson_gun_406_x4,0.6908,0.754,0.63,,kgeorge_gun_380_x4,0.675,0.7275,0.63,,richelieu_gun_380_x4,0.675,0.7275,0.63,,,,,,,,,,,
gun_11_x1,,279,gun_11_x1,,,brandenburg_gun_279_x1,1.07,1.151,1.07,,dreadnought_gun_b_305_x1,1.045,1.126,1.07,,nelson_gun_406_x1,0.759,0.8222,1.07,,kgeorge_gun_380_x1,0.7375,0.79,1.07,,richelieu_gun_380_x1,0.7375,0.79,1.07,,,,,,,,,,,
gun_11_x2,,279,gun_11_x2,,,brandenburg_gun_279_x2,1.07,1.151,0.82,,dreadnought_gun_b_305_x2,1.045,1.126,0.82,,nelson_gun_406_x2,0.759,0.8222,0.82,,kgeorge_gun_380_x2,0.7375,0.79,0.82,,richelieu_gun_380_x2,0.7375,0.79,0.82,,,,,,,,,,,
gun_11_x3,,279,gun_11_x3,,,brandenburg_gun_279_x3,1.07,1.151,0.66,,dreadnought_gun_b_305_x3,1.045,1.126,0.66,,nelson_gun_406_x3,0.759,0.8222,0.66,,kgeorge_gun_380_x3,0.7375,0.79,0.66,,richelieu_gun_380_x3,0.7375,0.79,0.66,,,,,,,,,,,
gun_11_x4,,279,gun_11_x4,,,dreadnought_gun_b_305_x4,1.045,1.126,0.61,,dreadnought_gun_b_305_x4,1.045,1.126,0.61,,nelson_gun_406_x4,0.759,0.8222,0.61,,kgeorge_gun_380_x4,0.7375,0.79,0.61,,richelieu_gun_380_x4,0.7375,0.79,0.61,,,,,,,,,,,
gun_12_x1,,305,gun_12_x1,,,friedrich_gun_305_x1,1.1298,1.2061,1.07,,dreadnought_gun_b_305_x1,1.136,1.217,1.07,,nelson_gun_406_x1,0.8272,0.8904,1.07,,kgeorge_gun_380_x1,0.8,0.8525,1.07,,richelieu_gun_380_x1,0.8,0.8525,1.07,,,,,,,,,,,
gun_12_x2,,305,gun_12_x2,,,friedrich_gun_305_x2,1.1298,1.2061,0.82,,dreadnought_gun_b_305_x2,1.136,1.217,0.82,,nelson_gun_406_x2,0.8272,0.8904,0.82,,kgeorge_gun_380_x2,0.8,0.8525,0.82,,richelieu_gun_380_x2,0.8,0.8525,0.82,,,,,,,,,,,
gun_12_x3,,305,gun_12_x3,,,friedrich_gun_305_x3,1.1298,1.2061,0.66,,dreadnought_gun_b_305_x3,1.136,1.217,0.66,,nelson_gun_406_x3,0.8272,0.8904,0.66,,kgeorge_gun_380_x3,0.8,0.8525,0.66,,richelieu_gun_380_x3,0.8,0.8525,0.66,,,,,,,,,,,
gun_12_x4,,305,gun_12_x4,,,dreadnought_gun_b_305_x4,1.136,1.217,0.61,,dreadnought_gun_b_305_x4,1.136,1.217,0.61,,nelson_gun_406_x4,0.8272,0.8904,0.61,,kgeorge_gun_380_x4,0.8,0.8525,0.61,,richelieu_gun_380_x4,0.8,0.8525,0.61,,,,,,,,,,,
gun_13_x1,,330,gun_13_x1,,,friedrich_gun_305_x1,1.2161,1.2924,1.13,,dreadnought_gun_b_305_x1,1.227,1.308,1.13,,nelson_gun_406_x1,0.8954,0.9586,1.13,,kgeorge_gun_380_x1,0.8625,0.915,1.13,,richelieu_gun_380_x1,0.8625,0.915,1.13,,,,,,,,,,,
gun_13_x2,,330,gun_13_x2,,,friedrich_gun_305_x2,1.2161,1.2924,0.88,,dreadnought_gun_b_305_x2,1.227,1.308,0.88,,nelson_gun_406_x2,0.8954,0.9586,0.88,,kgeorge_gun_380_x2,0.8625,0.915,0.88,,richelieu_gun_380_x2,0.8625,0.915,0.88,,,,,,,,,,,
gun_13_x3,,330,gun_13_x3,,,friedrich_gun_305_x3,1.2161,1.2924,0.705,,dreadnought_gun_b_305_x3,1.227,1.308,0.705,,nelson_gun_406_x3,0.8954,0.9586,0.705,,kgeorge_gun_380_x3,0.8625,0.915,0.705,,richelieu_gun_380_x3,0.8625,0.915,0.705,,,,,,,,,,,
gun_13_x4,,330,gun_13_x4,,,dreadnought_gun_b_305_x4,1.227,1.308,0.65,,dreadnought_gun_b_305_x4,1.227,1.308,0.65,,nelson_gun_406_x4,0.8954,0.9586,0.65,,kgeorge_gun_380_x4,0.8625,0.915,0.65,,richelieu_gun_380_x4,0.8625,0.915,0.65,,,,,,,,,,,
gun_14_x1,,356,gun_14_x1,,,friedrich_gun_305_x1,1.3024,1.3787,1.13,,dreadnought_gun_b_305_x1,1.318,1.399,1.13,,nelson_gun_406_x1,0.9636,1.0268,1.13,,kgeorge_gun_380_x1,0.925,0.9775,1.13,,richelieu_gun_380_x1,0.925,0.9775,1.13,,,,,,,,,,,
gun_14_x2,,356,gun_14_x2,,,friedrich_gun_305_x2,1.3024,1.3787,0.88,,dreadnought_gun_b_305_x2,1.318,1.399,0.88,,nelson_gun_406_x2,0.9636,1.0268,0.88,,kgeorge_gun_380_x2,0.925,0.9775,0.88,,richelieu_gun_380_x2,0.925,0.9775,0.88,,,,,,,,,,,
gun_14_x3,,356,gun_14_x3,,,friedrich_gun_305_x3,1.3024,1.3787,0.705,,dreadnought_gun_b_305_x3,1.318,1.399,0.705,,nelson_gun_406_x3,0.9636,1.0268,0.705,,kgeorge_gun_380_x3,0.925,0.9775,0.705,,richelieu_gun_380_x3,0.925,0.9775,0.705,,,,,,,,,,,
gun_14_x4,,356,gun_14_x4,,,dreadnought_gun_b_305_x4,1.318,1.399,0.66,,dreadnought_gun_b_305_x4,1.318,1.399,0.66,,nelson_gun_406_x4,0.9636,1.0268,0.66,,kgeorge_gun_380_x4,0.925,0.9775,0.66,,richelieu_gun_380_x4,0.925,0.9775,0.66,,,,,,,,,,,
gun_15_x1,,381,gun_15_x1,,,friedrich_gun_305_x1,1.3887,1.465,1.14,,dreadnought_gun_b_305_x1,1.409,1.49,1.14,,nelson_gun_406_x1,1.0318,1.095,1.14,,richelieu_gun_380_x1,0.9875,1.04,1.14,,richelieu_gun_380_x1,0.9875,1.04,1.14,,,,,,,,,,,
gun_15_x2,,381,gun_15_x2,,,friedrich_gun_305_x2,1.3887,1.465,0.9,,dreadnought_gun_b_305_x2,1.409,1.49,0.9,,nelson_gun_406_x2,1.0318,1.095,0.9,,richelieu_gun_380_x2,0.9875,1.04,0.9,,richelieu_gun_380_x2,0.9875,1.04,0.9,,,,,,,,,,,
gun_15_x3,,381,gun_15_x3,,,friedrich_gun_305_x3,1.3887,1.465,0.72,,dreadnought_gun_b_305_x3,1.409,1.49,0.72,,nelson_gun_406_x3,1.0318,1.095,0.72,,richelieu_gun_380_x3,0.9875,1.04,0.72,,richelieu_gun_380_x3,0.9875,1.04,0.72,,,,,,,,,,,
gun_15_x4,,381,gun_15_x4,,,dreadnought_gun_b_305_x4,1.409,1.49,0.675,,dreadnought_gun_b_305_x4,1.409,1.49,0.675,,nelson_gun_406_x4,1.0318,1.095,0.675,,richelieu_gun_380_x4,0.9875,1.04,0.675,,richelieu_gun_380_x4,0.9875,1.04,0.675,,,,,,,,,,,
gun_16_x1,,406,gun_16_x1,,,friedrich_gun_305_x1,1.475,1.5513,1.15,,dreadnought_gun_b_305_x1,1.5,1.581,1.15,,nelson_gun_406_x1,1.1,1.1632,1.15,,richelieu_gun_380_x1,1.05,1.1025,1.15,,richelieu_gun_380_x1,1.05,1.1025,1.15,,,,,,,,,,,
gun_16_x2,,406,gun_16_x2,,,friedrich_gun_305_x2,1.475,1.5513,0.93,,dreadnought_gun_b_305_x2,1.5,1.581,0.93,,nelson_gun_406_x2,1.1,1.1632,0.93,,richelieu_gun_380_x2,1.05,1.1025,0.93,,richelieu_gun_380_x2,1.05,1.1025,0.93,,,,,,,,,,,
gun_16_x3,,406,gun_16_x3,,,friedrich_gun_305_x3,1.475,1.5513,0.75,,dreadnought_gun_b_305_x3,1.5,1.581,0.75,,nelson_gun_406_x3,1.1,1.1632,0.75,,richelieu_gun_380_x3,1.05,1.1025,0.75,,richelieu_gun_380_x3,1.05,1.1025,0.75,,,,,,,,,,,
gun_16_x4,,406,gun_16_x4,,,dreadnought_gun_b_305_x4,1.5,1.581,0.68,,dreadnought_gun_b_305_x4,1.5,1.581,0.68,,nelson_gun_406_x4,1.1,1.1632,0.68,,richelieu_gun_380_x4,1.05,1.1025,0.68,,richelieu_gun_380_x4,1.05,1.1025,0.68,,,,,,,,,,,
gun_17_x1,,432,gun_17_x1,,,nelson_gun_406_x1,1.1682,1.2314,1.2,,kgeorge_gun_380_x1,1.1125,1.165,1.2,,richelieu_gun_380_x1,1.1125,1.165,1.2,,richelieu_gun_380_x1,1.1125,1.165,1.2,,richelieu_gun_380_x1,1.1125,1.165,1.2,,,,,,,,,,,
gun_17_x2,,432,gun_17_x2,,,nelson_gun_406_x2,1.1682,1.2314,0.95,,kgeorge_gun_380_x2,1.1125,1.165,0.95,,richelieu_gun_380_x2,1.1125,1.165,0.95,,richelieu_gun_380_x2,1.1125,1.165,0.95,,richelieu_gun_380_x2,1.1125,1.165,0.95,,,,,,,,,,,
gun_17_x3,,432,gun_17_x3,,,nelson_gun_406_x3,1.1682,1.2314,0.775,,kgeorge_gun_380_x3,1.1125,1.165,0.775,,richelieu_gun_380_x3,1.1125,1.165,0.775,,richelieu_gun_380_x3,1.1125,1.165,0.775,,richelieu_gun_380_x3,1.1125,1.165,0.775,,,,,,,,,,,
gun_17_x4,,432,gun_17_x4,,,nelson_gun_406_x4,1.1682,1.2314,0.71,,kgeorge_gun_380_x4,1.1125,1.165,0.71,,richelieu_gun_380_x4,1.1125,1.165,0.71,,richelieu_gun_380_x4,1.1125,1.165,0.71,,richelieu_gun_380_x4,1.1125,1.165,0.71,,,,,,,,,,,
gun_18_x1,,457,gun_18_x1,,,nelson_gun_406_x1,1.2364,1.2996,1.23,,kgeorge_gun_380_x1,1.175,1.2275,1.23,,richelieu_gun_380_x1,1.175,1.2275,1.23,,richelieu_gun_380_x1,1.175,1.2275,1.23,,richelieu_gun_380_x1,1.175,1.2275,1.23,,,,,,,,,,,
gun_18_x2,,457,gun_18_x2,,,nelson_gun_406_x2,1.2364,1.2996,0.985,,kgeorge_gun_380_x2,1.175,1.2275,0.985,,richelieu_gun_380_x2,1.175,1.2275,0.985,,richelieu_gun_380_x2,1.175,1.2275,0.985,,richelieu_gun_380_x2,1.175,1.2275,0.985,,,,,,,,,,,
gun_18_x3,,457,gun_18_x3,,,nelson_gun_406_x3,1.2364,1.2996,0.81,,kgeorge_gun_380_x3,1.175,1.2275,0.81,,richelieu_gun_380_x3,1.175,1.2275,0.81,,richelieu_gun_380_x3,1.175,1.2275,0.81,,richelieu_gun_380_x3,1.175,1.2275,0.81,,,,,,,,,,,
gun_18_x4,,457,gun_18_x4,,,nelson_gun_406_x4,1.2364,1.2996,0.735,,kgeorge_gun_380_x4,1.175,1.2275,0.735,,richelieu_gun_380_x4,1.175,1.2275,0.735,,richelieu_gun_380_x4,1.175,1.2275,0.735,,richelieu_gun_380_x4,1.175,1.2275,0.735,,,,,,,,,,,
gun_19_x1,,483,gun_19_x1,,,nelson_gun_406_x1,1.3046,1.3678,1.16,,kgeorge_gun_380_x1,1.2375,1.29,1.16,,richelieu_gun_380_x1,1.2375,1.29,1.16,,richelieu_gun_380_x1,1.2375,1.29,1.16,,richelieu_gun_380_x1,1.2375,1.29,1.16,,,,,,,,,,,
gun_19_x2,,483,gun_19_x2,,,nelson_gun_406_x2,1.3046,1.3678,0.95,,kgeorge_gun_380_x2,1.2375,1.29,0.95,,richelieu_gun_380_x2,1.2375,1.29,0.95,,richelieu_gun_380_x2,1.2375,1.29,0.95,,richelieu_gun_380_x2,1.2375,1.29,0.95,,,,,,,,,,,
gun_19_x3,,483,gun_19_x3,,,nelson_gun_406_x3,1.3046,1.3678,0.78,,kgeorge_gun_380_x3,1.2375,1.29,0.78,,richelieu_gun_380_x3,1.2375,1.29,0.78,,richelieu_gun_380_x3,1.2375,1.29,0.78,,richelieu_gun_380_x3,1.2375,1.29,0.78,,,,,,,,,,,
gun_19_x4,,483,gun_19_x4,,,nelson_gun_406_x4,1.3046,1.3678,0.725,,kgeorge_gun_380_x4,1.2375,1.29,0.725,,richelieu_gun_380_x4,1.2375,1.29,0.725,,richelieu_gun_380_x4,1.2375,1.29,0.725,,richelieu_gun_380_x4,1.2375,1.29,0.725,,,,,,,,,,,
gun_20_x1,,508,gun_20_x1,,,nelson_gun_406_x1,1.3728,1.436,1.05,,kgeorge_gun_380_x1,1.3,1.3525,1.05,,richelieu_gun_380_x1,1.3,1.3525,1.05,,richelieu_gun_380_x1,1.3,1.3525,1.05,,richelieu_gun_380_x1,1.3,1.3525,1.05,,,,,,,,,,,
gun_20_x2,,508,gun_20_x2,,,nelson_gun_406_x2,1.3728,1.436,0.85,,kgeorge_gun_380_x2,1.3,1.3525,0.85,,richelieu_gun_380_x2,1.3,1.3525,0.85,,richelieu_gun_380_x2,1.3,1.3525,0.85,,richelieu_gun_380_x2,1.3,1.3525,0.85,,,,,,,,,,,
gun_20_x3,,508,gun_20_x3,,,nelson_gun_406_x3,1.3728,1.436,0.7,,kgeorge_gun_380_x3,1.3,1.3525,0.7,,richelieu_gun_380_x3,1.3,1.3525,0.7,,richelieu_gun_380_x3,1.3,1.3525,0.7,,richelieu_gun_380_x3,1.3,1.3525,0.7,,,,,,,,,,,
gun_20_x4,,508,gun_20_x4,,,nelson_gun_406_x4,1.3728,1.436,0.65,,kgeorge_gun_380_x4,1.3,1.3525,0.65,,richelieu_gun_380_x4,1.3,1.3525,0.65,,richelieu_gun_380_x4,1.3,1.3525,0.65,,richelieu_gun_380_x4,1.3,1.3525,0.65,,,,,,,,,,,
###,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gun_2_x1_alt,,51,gun_2_x1_alt,,,small_gun_a_51_x1,1.75,1.9,0.92,40,small_gun_b_51_x1,1.75,1.9,0.92,45,jap_tb_gun_76_x1,1.3,1.5,0.92,50,iowa_gun_127_x1,0.81,0.91,0.92,55,iowa_gun_127_x1,0.81,0.91,0.92,55,,,,,,,,,,
gun_2_x2_alt,,51,gun_2_x2_alt,,,maine_gun_152_x2,0.664,0.798,0.7,40,spee_gun_150_x2,0.71,0.8,0.7,45,spee_gun_150_x2,0.71,0.8,0.7,50,iowa_gun_127_x2,0.81,0.91,0.7,55,iowa_gun_127_x2,0.81,0.91,0.7,55,,,,,,,,,,
gun_2_x3_alt,,51,gun_2_x3_alt,,,maine_gun_152_x3,0.664,0.798,0.55,40,spee_gun_150_x3,0.71,0.8,0.55,45,spee_gun_150_x3,0.71,0.8,0.55,50,iowa_gun_127_x3,0.81,0.91,0.55,55,iowa_gun_127_x3,0.81,0.91,0.55,55,,,,,,,,,,
