#id (do not edit)                ,enabled / disabled,caliber in mm,sub-name,country override (several),ship type override (several),"model, grade N","scaling, grade N","scaling, grade N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@name,enabled,#mm,subName,countries,shipTypes,model_1,scale_1,max_scale_1,weight_modifier_1,caliber_length_modifier_1,model_2,scale_2,max_scale_2,weight_modifier_2,caliber_length_modifier_2,model_3,scale_3,max_scale_3,weight_modifier_3,caliber_length_modifier_3,model_4,scale_4,max_scale_4,weight_modifier_4,caliber_length_modifier_4,model_5,scale_5,max_scale_5,weight_modifier_5,caliber_length_modifier_5,#,#2,#3,#4,#5,#6,#7,#8,#9,#10
gun_5_x1,,127,gun_5_x1,,,brandenburg_gun_76_x1,0.998,1.08,0.85,1.5,jap_tb_gun_76_x1,1.835,2.02,0.85,1.06,dd_s_gun_d_102_x1,1.1995,1.335,0.85,1.42,dd_s_gun_d_102_x1,1.1995,1.335,0.85,1.42,dd_s_gun_b_102_x1,1.1995,1.335,0.85,1.42,,,,,,,,,,
gun_5_x2,,127,gun_5_x2,,,maine_gun_152_x2,1.146,1.34,0.95,1,maine_gun_230_x2,0.868,0.994,0.95,1.12,spee_gun_150_x2,1.004,1.13,0.95,1.18,pola_gun_100_x2,1.004,1.13,0.95,1.58,atl_gun_125_x2,1.004,1.13,0.95,1.18,,,,,,,,,,
gun_5_x3,,127,gun_5_x3,,,maine_gun_152_x3,1.146,1.34,0.75,1,maine_gun_230_x3,0.868,0.994,0.75,1.12,spee_gun_150_x3,1.004,1.13,0.75,1.18,pola_gun_100_x3,1.004,1.13,0.75,1.58,atl_gun_125_x3,1.004,1.13,0.75,1.18,,,,,,,,,,
gun_5_x4,,127,gun_5_x4,,,pola_gun_100_x4,1.004,1.13,0.68,1.58,pola_gun_100_x4,1.004,1.13,0.68,1.58,pola_gun_100_x4,1.004,1.13,0.68,1.58,pola_gun_100_x4,1.004,1.13,0.68,1.58,atl_gun_125_x4,1.004,1.13,0.68,1.18,,,,,,,,,,
gun_6_x1,,152,gun_6_x1,,,dd_s_gun_d_102_x1,1.345,1.4805,0.75,1.14,dd_s_gun_c_102_x1,1.345,1.4805,0.75,1.28,dd_s_gun_c_102_x1,1.345,1.4805,0.75,1.44,dd_s_gun_b_102_x1,1.345,1.4805,0.75,1.44,dd_s_gun_b_102_x1,1.345,1.4805,0.75,1.44,,,,,,,,,,
gun_6_x2,,152,gun_6_x2,,,tsesarevich_gun_152_x2,0.955,1.0895,0.86,1.32,agamemnon_gun_b_228_x2,1.14,1.266,0.86,1.06,dreadnought_gun_178_x2,1.14,1.266,0.86,1,dido_gun_cal133_x2,1.14,1.266,0.86,1.36,yamato_gun_155_x2,0.7772,0.8808,0.9,2.08,,,,,,,,,,
gun_6_x3,,152,gun_6_x3,,,tsesarevich_gun_152_x3,0.955,1.0895,0.66,1.32,agamemnon_gun_b_228_x3,1.14,1.266,0.66,1.28,dreadnought_gun_178_x3,1.14,1.266,0.66,1,dido_gun_cal133_x3,1.14,1.266,0.66,1.36,yamato_gun_155_x3,0.7772,0.8808,0.705,2.08,,,,,,,,,,
gun_6_x4,,152,gun_6_x4,,,agamemnon_gun_b_228_x4,1.14,1.266,0.6,1.06,agamemnon_gun_b_228_x4,1.14,1.266,0.6,1.06,dreadnought_gun_178_x4,1.14,1.266,0.6,1,dido_gun_cal133_x4,1.14,1.266,0.6,1.24,yamato_gun_155_x4,0.7772,0.8808,0.64,2.03,,,,,,,,,,
gun_7_x1,,178,gun_7_x1,,,dd_s_gun_d_102_x1,1.4905,1.626,0.8,1.18,dd_s_gun_c_102_x1,1.4905,1.626,0.8,1.32,dd_s_gun_c_102_x1,1.4905,1.626,0.8,1.48,dd_s_gun_b_102_x1,1.4905,1.626,0.8,1.48,dd_s_gun_b_102_x1,1.4905,1.626,0.8,1.48,,,,,,,,,,
gun_7_x2,,178,gun_7_x2,,,tsesarevich_gun_152_x2,1.1095,1.244,0.9,1.3,agamemnon_gun_b_228_x2,1.276,1.402,0.9,1.06,dreadnought_gun_178_x2,1.276,1.402,0.9,1,mont_gun_152_x2,1.057,1.167,0.9,1.36,british_adv_cruiser_152_gun_x2,0.819,0.918,0.9,1.58,,,,,,,,,,
gun_7_x3,,178,gun_7_x3,,,tsesarevich_gun_152_x3,1.1095,1.244,0.705,1.3,agamemnon_gun_b_228_x3,1.276,1.402,0.705,1.3,dreadnought_gun_178_x3,1.276,1.402,0.705,1,mont_gun_152_x3,1.057,1.167,0.705,1.36,british_adv_cruiser_152_gun_x3,0.819,0.918,0.705,1.58,,,,,,,,,,
gun_7_x4,,178,gun_7_x4,,,agamemnon_gun_b_228_x4,1.276,1.402,0.64,1.06,agamemnon_gun_b_228_x4,1.276,1.402,0.64,1.06,dreadnought_gun_178_x4,1.276,1.402,0.64,1,mont_gun_152_x4,1.057,1.167,0.64,1.36,british_adv_cruiser_152_gun_x4,0.819,0.918,0.64,1.58,,,,,,,,,,
gun_8_x1,,203,gun_8_x1,,,friedrich_gun_228_x1,0.8194,0.8976,1.17,1.56,agamemnon_gun_228_x1,1.0184,1.1311,1.17,1.26,nelson_gun_152_x1,1.1544,1.2626,1.17,1.24,mont_gun_152_x1,1.184,1.294,1.17,1.36,british_adv_cruiser_152_gun_x1,0.928,1.027,1.17,1.56,,,,,,,,,,
gun_8_x2,,203,gun_8_x2,,,friedrich_gun_228_x2,0.8194,0.8976,0.88,1.56,agamemnon_gun_228_x2,1.0184,1.1311,0.88,1.26,nelson_gun_152_x2,1.1544,1.2626,0.88,1.24,mont_gun_152_x2,1.184,1.294,0.88,1.36,british_adv_cruiser_152_gun_x2,0.928,1.027,0.88,1.56,,,,,,,,,,
gun_8_x3,,203,gun_8_x3,,,friedrich_gun_228_x3,0.8194,0.8976,0.69,1.56,agamemnon_gun_228_x3,1.0184,1.1311,0.69,1.26,nelson_gun_152_x3,1.1544,1.2626,0.69,1.24,mont_gun_152_x3,1.184,1.294,0.69,1.36,british_adv_cruiser_152_gun_x3,0.928,1.027,0.69,1.56,,,,,,,,,,
gun_8_x4,,203,gun_8_x4,,,agamemnon_gun_228_x4,1.0184,1.1311,0.63,1.26,agamemnon_gun_228_x4,1.0184,1.1311,0.63,1.26,nelson_gun_152_x4,1.1544,1.2626,0.63,1.46,mont_gun_152_x4,1.184,1.294,0.63,1.36,british_adv_cruiser_152_gun_x4,0.928,1.027,0.63,1.56,,,,,,,,,,
gun_9_x1,,229,gun_9_x1,,,friedrich_gun_228_x1,0.9076,0.9858,1.1,1.54,agamemnon_gun_228_x1,1.1411,1.2538,1.1,1.24,nelson_gun_152_x1,1.2726,1.3808,1.1,1.24,mont_gun_152_x1,1.311,1.421,1.1,1.34,british_adv_cruiser_152_gun_x1,1.037,1.136,1.1,1.51,,,,,,,,,,
gun_9_x2,,229,gun_9_x2,,,friedrich_gun_228_x2,0.9076,0.9858,0.82,1.54,agamemnon_gun_228_x2,1.1411,1.2538,0.82,1.24,nelson_gun_152_x2,1.2726,1.3808,0.82,1.24,mont_gun_152_x2,1.311,1.421,0.82,1.34,british_adv_cruiser_152_gun_x2,1.037,1.136,0.82,1.51,,,,,,,,,,
gun_9_x3,,229,gun_9_x3,,,friedrich_gun_228_x3,0.9076,0.9858,0.64,1.54,agamemnon_gun_228_x3,1.1411,1.2538,0.64,1.24,nelson_gun_152_x3,1.2726,1.3808,0.64,1.24,mont_gun_152_x3,1.311,1.421,0.64,1.34,british_adv_cruiser_152_gun_x3,1.037,1.136,0.64,1.51,,,,,,,,,,
gun_9_x4,,229,gun_9_x4,,,agamemnon_gun_228_x4,1.1411,1.2538,0.58,1.24,agamemnon_gun_228_x4,1.1411,1.2538,0.58,1.24,nelson_gun_152_x4,1.2726,1.3808,0.58,1.46,mont_gun_152_x4,1.311,1.421,0.58,1.34,british_adv_cruiser_152_gun_x4,1.037,1.136,0.58,1.51,,,,,,,,,,
gun_10_x1,,254,gun_10_x1,,,brandenburg_gun_279_x1,0.979,1.06,1.2,1.38,dreadnought_gun_b_305_x1,0.954,1.035,1.2,1.36,nelson_gun_406_x1,0.6908,0.754,1.2,1.16,kgeorge_gun_380_x1,0.675,0.7275,1.2,1.2,richelieu_gun_380_x1,0.675,0.7275,1.2,1.22,,,,,,,,,,
gun_10_x2,,254,gun_10_x2,,,brandenburg_gun_279_x2,0.979,1.06,0.9,1.38,dreadnought_gun_b_305_x2,0.954,1.035,0.9,1.36,nelson_gun_406_x2,0.6908,0.754,0.9,1.16,kgeorge_gun_380_x2,0.675,0.7275,0.9,1.2,richelieu_gun_380_x2,0.675,0.7275,0.9,1.22,,,,,,,,,,
gun_10_x3,,254,gun_10_x3,,,brandenburg_gun_279_x3,0.979,1.06,0.68,0.76,dreadnought_gun_b_305_x3,0.954,1.035,0.68,1.36,nelson_gun_406_x3,0.6908,0.754,0.68,1.16,kgeorge_gun_380_x3,0.675,0.7275,0.68,1.2,richelieu_gun_380_x3,0.675,0.7275,0.68,1.22,,,,,,,,,,
gun_10_x4,,254,gun_10_x4,,,dreadnought_gun_b_305_x4,0.954,1.035,0.63,1.36,dreadnought_gun_b_305_x4,0.954,1.035,0.63,1.36,nelson_gun_406_x4,0.6908,0.754,0.63,1.16,kgeorge_gun_380_x4,0.675,0.7275,0.63,1.2,richelieu_gun_380_x4,0.675,0.7275,0.63,1.22,,,,,,,,,,
gun_11_x1,,279,gun_11_x1,,,brandenburg_gun_279_x1,1.07,1.151,1.07,1.1,dreadnought_gun_b_305_x1,1.045,1.126,1.07,1.08,nelson_gun_406_x1,0.759,0.8222,1.07,0.93,kgeorge_gun_380_x1,0.7375,0.79,1.07,0.96,richelieu_gun_380_x1,0.7375,0.79,1.07,0.98,,,,,,,,,,
gun_11_x2,,279,gun_11_x2,,,brandenburg_gun_279_x2,1.07,1.151,0.82,1.1,dreadnought_gun_b_305_x2,1.045,1.126,0.82,1.08,nelson_gun_406_x2,0.759,0.8222,0.82,0.93,kgeorge_gun_380_x2,0.7375,0.79,0.82,0.96,richelieu_gun_380_x2,0.7375,0.79,0.82,0.98,,,,,,,,,,
gun_11_x3,,279,gun_11_x3,,,brandenburg_gun_279_x3,1.07,1.151,0.66,0.61,dreadnought_gun_b_305_x3,1.045,1.126,0.66,1.08,nelson_gun_406_x3,0.759,0.8222,0.66,0.93,kgeorge_gun_380_x3,0.7375,0.79,0.66,0.96,richelieu_gun_380_x3,0.7375,0.79,0.66,0.98,,,,,,,,,,
gun_11_x4,,279,gun_11_x4,,,dreadnought_gun_b_305_x4,1.045,1.126,0.61,1.08,dreadnought_gun_b_305_x4,1.045,1.126,0.61,1.08,nelson_gun_406_x4,0.759,0.8222,0.61,0.93,kgeorge_gun_380_x4,0.7375,0.79,0.61,0.96,richelieu_gun_380_x4,0.7375,0.79,0.61,0.98,,,,,,,,,,
gun_12_x1,,305,gun_12_x1,,,friedrich_gun_305_x1,1.1298,1.2061,1.07,1.06,dreadnought_gun_b_305_x1,1.136,1.217,1.07,1.1,nelson_gun_406_x1,0.8272,0.8904,1.07,0.92,kgeorge_gun_380_x1,0.8,0.8525,1.07,0.96,richelieu_gun_380_x1,0.8,0.8525,1.07,0.98,,,,,,,,,,
gun_12_x2,,305,gun_12_x2,,,friedrich_gun_305_x2,1.1298,1.2061,0.82,1.06,dreadnought_gun_b_305_x2,1.136,1.217,0.82,1.1,nelson_gun_406_x2,0.8272,0.8904,0.82,0.92,kgeorge_gun_380_x2,0.8,0.8525,0.82,0.96,richelieu_gun_380_x2,0.8,0.8525,0.82,0.98,,,,,,,,,,
gun_12_x3,,305,gun_12_x3,,,friedrich_gun_305_x3,1.1298,1.2061,0.66,1.06,dreadnought_gun_b_305_x3,1.136,1.217,0.66,1.1,nelson_gun_406_x3,0.8272,0.8904,0.66,0.92,kgeorge_gun_380_x3,0.8,0.8525,0.66,0.96,richelieu_gun_380_x3,0.8,0.8525,0.66,0.98,,,,,,,,,,
gun_12_x4,,305,gun_12_x4,,,dreadnought_gun_b_305_x4,1.136,1.217,0.61,1.1,dreadnought_gun_b_305_x4,1.136,1.217,0.61,1.1,nelson_gun_406_x4,0.8272,0.8904,0.61,0.92,kgeorge_gun_380_x4,0.8,0.8525,0.61,0.96,richelieu_gun_380_x4,0.8,0.8525,0.61,0.98,,,,,,,,,,
gun_13_x1,,330,gun_13_x1,,,friedrich_gun_305_x1,1.2161,1.2924,1.13,1.06,dreadnought_gun_b_305_x1,1.227,1.308,1.13,1.08,nelson_gun_406_x1,0.8954,0.9586,1.13,0.92,kgeorge_gun_380_x1,0.8625,0.915,1.13,0.96,richelieu_gun_380_x1,0.8625,0.915,1.13,0.98,,,,,,,,,,
gun_13_x2,,330,gun_13_x2,,,friedrich_gun_305_x2,1.2161,1.2924,0.88,1.06,dreadnought_gun_b_305_x2,1.227,1.308,0.88,1.08,nelson_gun_406_x2,0.8954,0.9586,0.88,0.92,kgeorge_gun_380_x2,0.8625,0.915,0.88,0.96,richelieu_gun_380_x2,0.8625,0.915,0.88,0.98,,,,,,,,,,
gun_13_x3,,330,gun_13_x3,,,friedrich_gun_305_x3,1.2161,1.2924,0.705,1.06,dreadnought_gun_b_305_x3,1.227,1.308,0.705,1.08,nelson_gun_406_x3,0.8954,0.9586,0.705,0.92,kgeorge_gun_380_x3,0.8625,0.915,0.705,0.96,richelieu_gun_380_x3,0.8625,0.915,0.705,0.98,,,,,,,,,,
gun_13_x4,,330,gun_13_x4,,,dreadnought_gun_b_305_x4,1.227,1.308,0.65,1.08,dreadnought_gun_b_305_x4,1.227,1.308,0.65,1.08,nelson_gun_406_x4,0.8954,0.9586,0.65,0.92,kgeorge_gun_380_x4,0.8625,0.915,0.65,0.96,richelieu_gun_380_x4,0.8625,0.915,0.65,0.98,,,,,,,,,,
gun_14_x1,,356,gun_14_x1,,,friedrich_gun_305_x1,1.3024,1.3787,1.13,1.06,dreadnought_gun_b_305_x1,1.318,1.399,1.13,1.08,nelson_gun_406_x1,0.9636,1.0268,1.13,0.92,kgeorge_gun_380_x1,0.925,0.9775,1.13,0.96,richelieu_gun_380_x1,0.925,0.9775,1.13,0.98,,,,,,,,,,
gun_14_x2,,356,gun_14_x2,,,friedrich_gun_305_x2,1.3024,1.3787,0.88,1.06,dreadnought_gun_b_305_x2,1.318,1.399,0.88,1.08,nelson_gun_406_x2,0.9636,1.0268,0.88,0.92,kgeorge_gun_380_x2,0.925,0.9775,0.88,0.96,richelieu_gun_380_x2,0.925,0.9775,0.88,0.98,,,,,,,,,,
gun_14_x3,,356,gun_14_x3,,,friedrich_gun_305_x3,1.3024,1.3787,0.705,1.06,dreadnought_gun_b_305_x3,1.318,1.399,0.705,1.08,nelson_gun_406_x3,0.9636,1.0268,0.705,0.92,kgeorge_gun_380_x3,0.925,0.9775,0.705,0.96,richelieu_gun_380_x3,0.925,0.9775,0.705,0.98,,,,,,,,,,
gun_14_x4,,356,gun_14_x4,,,dreadnought_gun_b_305_x4,1.318,1.399,0.66,1.08,dreadnought_gun_b_305_x4,1.318,1.399,0.66,1.08,nelson_gun_406_x4,0.9636,1.0268,0.66,0.92,kgeorge_gun_380_x4,0.925,0.9775,0.66,0.96,richelieu_gun_380_x4,0.925,0.9775,0.66,0.98,,,,,,,,,,
gun_15_x1,,381,gun_15_x1,,,friedrich_gun_305_x1,1.3887,1.465,1.14,1.06,dreadnought_gun_b_305_x1,1.409,1.49,1.14,1.08,nelson_gun_406_x1,1.0318,1.095,1.14,0.92,richelieu_gun_380_x1,0.9875,1.04,1.14,0.98,richelieu_gun_380_x1,0.9875,1.04,1.14,0.98,,,,,,,,,,
gun_15_x2,,381,gun_15_x2,,,friedrich_gun_305_x2,1.3887,1.465,0.9,1.06,dreadnought_gun_b_305_x2,1.409,1.49,0.9,1.08,nelson_gun_406_x2,1.0318,1.095,0.9,0.92,richelieu_gun_380_x2,0.9875,1.04,0.9,0.98,richelieu_gun_380_x2,0.9875,1.04,0.9,0.98,,,,,,,,,,
gun_15_x3,,381,gun_15_x3,,,friedrich_gun_305_x3,1.3887,1.465,0.72,1.06,dreadnought_gun_b_305_x3,1.409,1.49,0.72,1.08,nelson_gun_406_x3,1.0318,1.095,0.72,0.92,richelieu_gun_380_x3,0.9875,1.04,0.72,0.98,richelieu_gun_380_x3,0.9875,1.04,0.72,0.98,,,,,,,,,,
gun_15_x4,,381,gun_15_x4,,,dreadnought_gun_b_305_x4,1.409,1.49,0.675,1.08,dreadnought_gun_b_305_x4,1.409,1.49,0.675,1.08,nelson_gun_406_x4,1.0318,1.095,0.675,0.92,richelieu_gun_380_x4,0.9875,1.04,0.675,0.98,richelieu_gun_380_x4,0.9875,1.04,0.675,0.98,,,,,,,,,,
gun_16_x1,,406,gun_16_x1,,,friedrich_gun_305_x1,1.475,1.5513,1.15,1.06,dreadnought_gun_b_305_x1,1.5,1.581,1.15,1.08,nelson_gun_406_x1,1.1,1.1632,1.15,0.92,richelieu_gun_380_x1,1.05,1.1025,1.15,0.98,richelieu_gun_380_x1,1.05,1.1025,1.15,0.98,,,,,,,,,,
gun_16_x2,,406,gun_16_x2,,,friedrich_gun_305_x2,1.475,1.5513,0.93,1.06,dreadnought_gun_b_305_x2,1.5,1.581,0.93,1.08,nelson_gun_406_x2,1.1,1.1632,0.93,0.92,richelieu_gun_380_x2,1.05,1.1025,0.93,0.98,richelieu_gun_380_x2,1.05,1.1025,0.93,0.98,,,,,,,,,,
gun_16_x3,,406,gun_16_x3,,,friedrich_gun_305_x3,1.475,1.5513,0.75,1.06,dreadnought_gun_b_305_x3,1.5,1.581,0.75,1.08,nelson_gun_406_x3,1.1,1.1632,0.75,0.92,richelieu_gun_380_x3,1.05,1.1025,0.75,0.98,richelieu_gun_380_x3,1.05,1.1025,0.75,0.98,,,,,,,,,,
gun_16_x4,,406,gun_16_x4,,,dreadnought_gun_b_305_x4,1.5,1.581,0.68,1.08,dreadnought_gun_b_305_x4,1.5,1.581,0.68,1.08,nelson_gun_406_x4,1.1,1.1632,0.68,0.92,richelieu_gun_380_x4,1.05,1.1025,0.68,0.98,richelieu_gun_380_x4,1.05,1.1025,0.68,0.98,,,,,,,,,,
gun_17_x1,,432,gun_17_x1,,,nelson_gun_406_x1,1.1682,1.2314,1.2,0.91,kgeorge_gun_380_x1,1.1125,1.165,1.2,0.96,richelieu_gun_380_x1,1.1125,1.165,1.2,0.88,richelieu_gun_380_x1,1.1125,1.165,1.2,0.98,richelieu_gun_380_x1,1.1125,1.165,1.2,0.98,,,,,,,,,,
gun_17_x2,,432,gun_17_x2,,,nelson_gun_406_x2,1.1682,1.2314,0.95,0.91,kgeorge_gun_380_x2,1.1125,1.165,0.95,0.96,richelieu_gun_380_x2,1.1125,1.165,0.95,0.88,richelieu_gun_380_x2,1.1125,1.165,0.95,0.98,richelieu_gun_380_x2,1.1125,1.165,0.95,0.98,,,,,,,,,,
gun_17_x3,,432,gun_17_x3,,,nelson_gun_406_x3,1.1682,1.2314,0.775,0.91,kgeorge_gun_380_x3,1.1125,1.165,0.775,0.96,richelieu_gun_380_x3,1.1125,1.165,0.775,0.88,richelieu_gun_380_x3,1.1125,1.165,0.775,0.98,richelieu_gun_380_x3,1.1125,1.165,0.775,0.98,,,,,,,,,,
gun_17_x4,,432,gun_17_x4,,,nelson_gun_406_x4,1.1682,1.2314,0.71,0.91,kgeorge_gun_380_x4,1.1125,1.165,0.71,0.96,richelieu_gun_380_x4,1.1125,1.165,0.71,0.88,richelieu_gun_380_x4,1.1125,1.165,0.71,0.98,richelieu_gun_380_x4,1.1125,1.165,0.71,0.98,,,,,,,,,,
gun_18_x1,,457,gun_18_x1,,,nelson_gun_406_x1,1.2364,1.2996,1.23,0.91,kgeorge_gun_380_x1,1.175,1.2275,1.23,0.96,richelieu_gun_380_x1,1.175,1.2275,1.23,0.88,richelieu_gun_380_x1,1.175,1.2275,1.23,0.98,richelieu_gun_380_x1,1.175,1.2275,1.23,0.98,,,,,,,,,,
gun_18_x2,,457,gun_18_x2,,,nelson_gun_406_x2,1.2364,1.2996,0.985,0.91,kgeorge_gun_380_x2,1.175,1.2275,0.985,0.96,richelieu_gun_380_x2,1.175,1.2275,0.985,0.88,richelieu_gun_380_x2,1.175,1.2275,0.985,0.98,richelieu_gun_380_x2,1.175,1.2275,0.985,0.98,,,,,,,,,,
gun_18_x3,,457,gun_18_x3,,,nelson_gun_406_x3,1.2364,1.2996,0.81,0.91,kgeorge_gun_380_x3,1.175,1.2275,0.81,0.96,richelieu_gun_380_x3,1.175,1.2275,0.81,0.88,richelieu_gun_380_x3,1.175,1.2275,0.81,0.98,richelieu_gun_380_x3,1.175,1.2275,0.81,0.98,,,,,,,,,,
gun_18_x4,,457,gun_18_x4,,,nelson_gun_406_x4,1.2364,1.2996,0.735,0.91,kgeorge_gun_380_x4,1.175,1.2275,0.735,0.96,richelieu_gun_380_x4,1.175,1.2275,0.735,0.88,richelieu_gun_380_x4,1.175,1.2275,0.735,0.98,richelieu_gun_380_x4,1.175,1.2275,0.735,0.98,,,,,,,,,,
gun_19_x1,,483,gun_19_x1,,,nelson_gun_406_x1,1.3046,1.3678,1.16,0.91,kgeorge_gun_380_x1,1.2375,1.29,1.16,0.96,richelieu_gun_380_x1,1.2375,1.29,1.16,0.88,richelieu_gun_380_x1,1.2375,1.29,1.16,0.98,richelieu_gun_380_x1,1.2375,1.29,1.16,0.98,,,,,,,,,,
gun_19_x2,,483,gun_19_x2,,,nelson_gun_406_x2,1.3046,1.3678,0.95,0.91,kgeorge_gun_380_x2,1.2375,1.29,0.95,0.96,richelieu_gun_380_x2,1.2375,1.29,0.95,0.88,richelieu_gun_380_x2,1.2375,1.29,0.95,0.98,richelieu_gun_380_x2,1.2375,1.29,0.95,0.98,,,,,,,,,,
gun_19_x3,,483,gun_19_x3,,,nelson_gun_406_x3,1.3046,1.3678,0.78,0.91,kgeorge_gun_380_x3,1.2375,1.29,0.78,0.96,richelieu_gun_380_x3,1.2375,1.29,0.78,0.88,richelieu_gun_380_x3,1.2375,1.29,0.78,0.98,richelieu_gun_380_x3,1.2375,1.29,0.78,0.98,,,,,,,,,,
gun_19_x4,,483,gun_19_x4,,,nelson_gun_406_x4,1.3046,1.3678,0.725,0.91,kgeorge_gun_380_x4,1.2375,1.29,0.725,0.96,richelieu_gun_380_x4,1.2375,1.29,0.725,0.88,richelieu_gun_380_x4,1.2375,1.29,0.725,0.98,richelieu_gun_380_x4,1.2375,1.29,0.725,0.98,,,,,,,,,,
gun_20_x1,,508,gun_20_x1,,,nelson_gun_406_x1,1.3728,1.436,1.05,0.9,kgeorge_gun_380_x1,1.3,1.3525,1.05,0.94,richelieu_gun_380_x1,1.3,1.3525,1.05,0.88,richelieu_gun_380_x1,1.3,1.3525,1.05,0.98,richelieu_gun_380_x1,1.3,1.3525,1.05,0.98,,,,,,,,,,
